Symbol,Industry,Series
RELIANCE,HIGH_MARKET_VALUE,EQ
TCS,HIGH_MARKET_VALUE,EQ
HDFCBANK,HIGH_MARKET_VALUE,EQ
ITC,HIGH_MARKET_VALUE,EQ
HDFC,HIGH_MARKET_VALUE,EQ
HINDUNILVR,HIGH_MARKET_VALUE,EQ
MARUTI,HIGH_MARKET_VALUE,EQ
INFY,HIGH_MARKET_VALUE,EQ
ONGC,HIGH_MARKET_VALUE,EQ
SBIN,HIGH_MARKET_VALUE,EQ
KOTAKBANK,HIGH_MARKET_VALUE,EQ
LT,HIGH_MARKET_VALUE,EQ
ICICIBANK,HIGH_MARKET_VALUE,EQ
COALINDIA,HIGH_MARKET_VALUE,EQ
IOC,HIGH_MARKET_VALUE,EQ
BHARTIARTL,HIGH_MARKET_VALUE,EQ
NTPC,HIGH_MARKET_VALUE,EQ
HCLTECH,HIGH_MARKET_VALUE,EQ
AXISBANK,HIGH_MARKET_VALUE,EQ
WIPRO,HIGH_MARKET_VALUE,EQ
HINDZINC,HIGH_MARKET_VALUE,EQ
SUNPHARMA,HIGH_MARKET_VALUE,EQ
ULTRACEMCO,HIGH_MARKET_VALUE,EQ
INDUSINDBK,HIGH_MARKET_VALUE,EQ
ASIANPAINT,HIGH_MARKET_VALUE,EQ
VEDL,HIGH_MARKET_VALUE,EQ
BAJFINANCE,HIGH_MARKET_VALUE,EQ
POWERGRID,HIGH_MARKET_VALUE,EQ
TATAMOTORS,HIGH_MARKET_VALUE,EQ
BPCL,HIGH_MARKET_VALUE,EQ
M&M,HIGH_MARKET_VALUE,EQ
HDFCLIFE,HIGH_MARKET_VALUE,EQ
TITAN,HIGH_MARKET_VALUE,EQ
DMART,HIGH_MARKET_VALUE,EQ
BAJAJFINSV,HIGH_MARKET_VALUE,EQ
BAJAJ-AUTO,HIGH_MARKET_VALUE,EQ
EICHERMOT,HIGH_MARKET_VALUE,EQ
GODREJCP,HIGH_MARKET_VALUE,EQ
GAIL,HIGH_MARKET_VALUE,EQ
ADANIPORTS,HIGH_MARKET_VALUE,EQ
HEROMOTOCO,HIGH_MARKET_VALUE,EQ
YESBANK,HIGH_MARKET_VALUE,EQ
JSWSTEEL,HIGH_MARKET_VALUE,EQ
GRASIM,HIGH_MARKET_VALUE,EQ
SBILIFE,HIGH_MARKET_VALUE,EQ
MOTHERSUMI,HIGH_MARKET_VALUE,EQ
GICRE,HIGH_MARKET_VALUE,EQ
TATASTEEL,HIGH_MARKET_VALUE,EQ
TECHM,HIGH_MARKET_VALUE,EQ
INFRATEL,HIGH_MARKET_VALUE,EQ
BRITANNIA,HIGH_MARKET_VALUE,EQ
NIACL,HIGH_MARKET_VALUE,EQ
DABUR,HIGH_MARKET_VALUE,EQ
SHREECEM,HIGH_MARKET_VALUE,EQ
BANDHANBNK,HIGH_MARKET_VALUE,EQ
ICICIPRULI,HIGH_MARKET_VALUE,EQ
ZEEL,HIGH_MARKET_VALUE,EQ
BOSCHLTD,HIGH_MARKET_VALUE,EQ
IBULHSGFIN,HIGH_MARKET_VALUE,EQ
HINDPETRO,HIGH_MARKET_VALUE,EQ
INDIGO,HIGH_MARKET_VALUE,EQ
HINDALCO,HIGH_MARKET_VALUE,EQ
PIDILITIND,HIGH_MARKET_VALUE,EQ
AMBUJACEM,HIGH_MARKET_VALUE,EQ
MCDOWELL-N,HIGH_MARKET_VALUE,EQ
CIPLA,HIGH_MARKET_VALUE,EQ
PEL,HIGH_MARKET_VALUE,EQ
ASHOKLEY,HIGH_MARKET_VALUE,EQ
MARICO,HIGH_MARKET_VALUE,EQ
CADILAHC,HIGH_MARKET_VALUE,EQ
SIEMENS,HIGH_MARKET_VALUE,EQ
HAL,HIGH_MARKET_VALUE,EQ
NMDC,HIGH_MARKET_VALUE,EQ
UPL,HIGH_MARKET_VALUE,EQ
ICICIGI,HIGH_MARKET_VALUE,EQ
DLF,HIGH_MARKET_VALUE,EQ
BIOCON,HIGH_MARKET_VALUE,EQ
BEL,HIGH_MARKET_VALUE,EQ
PETRONET,HIGH_MARKET_VALUE,EQ
DRREDDY,HIGH_MARKET_VALUE,EQ
SUNTV,HIGH_MARKET_VALUE,EQ
LUPIN,HIGH_MARKET_VALUE,EQ
IDEA,HIGH_MARKET_VALUE,EQ
BANKBARODA,HIGH_MARKET_VALUE,EQ
AUROPHARMA,HIGH_MARKET_VALUE,EQ
SRTRANSFIN,HIGH_MARKET_VALUE,EQ
BHARATFORG,HIGH_MARKET_VALUE,EQ
ABCAPITAL,HIGH_MARKET_VALUE,EQ
OFSS,HIGH_MARKET_VALUE,EQ
PGHH,HIGH_MARKET_VALUE,EQ
MRF,HIGH_MARKET_VALUE,EQ
HAVELLS,HIGH_MARKET_VALUE,EQ
CONCOR,HIGH_MARKET_VALUE,EQ
BHEL,HIGH_MARKET_VALUE,EQ
