"Mark","Company","Symbol","Category","LTP","Change %","Last 5 Days %","Last 10 Days %","Last 1 Month %","Last 2 Month %","Last 3 Month %","Week 52 Low %","Week 52 High %","open_price","high_price","low_price","close_price","prev_price","week_52_high","week_52_low","last_5_day_price","last_10_day_price","last_1_month_price","last_2_month_price","last_3_month_price",
"Yes","Motilal Oswal Financial Services Ltd.","MOTILALOFS","FINANCIAL SERVICES","962.70","2.49%","14.20%","13.89%","26.17%","36.94%","64.42%","255.24%","(1.06)%","$944.10","$973.00","$927.10","$953.70","$939.35","$973.00","$271.00","$843.00","$862.00","$763.00","$703.00","$585.50",
"No","SREI Infrastructure Finance Ltd.","SREINFRA","FINANCIAL SERVICES","103.90","(1.00)%","14.05%","14.32%","24.58%","10.53%","6.02%","102.73%","(2.21)%","$103.55","$105.75","$100.05","$103.65","$104.95","$106.25","$51.25","$91.10","$89.40","$83.40","$94.00","$98.00",
"No","Coromandel International Ltd.","COROMANDEL","FERTILISERS & PESTICIDES","394.00","(1.29)%","13.87%","13.42%","26.28%","24.80%","19.02%","83.26%","(3.67)%","$396.50","$400.00","$391.00","$394.80","$399.15","$409.00","$215.00","$346.00","$357.80","$312.00","$315.70","$331.05",
"No","Chambal Fertilizers & Chemicals Ltd.","CHAMBLFERT","FERTILISERS & PESTICIDES","113.65","0.26%","13.37%","13.58%","29.96%","45.24%","34.74%","112.23%","(4.17)%","$112.70","$115.60","$109.10","$113.80","$113.35","$118.60","$53.55","$100.25","$98.65","$87.45","$78.25","$84.35",
"Yes","Godrej Properties Ltd.","GODREJPROP","CONSTRUCTION","525.15","(1.10)%","12.69%","12.98%","18.75%","43.66%","36.01%","83.39%","(10.38)%","$533.00","$552.00","$521.00","$525.30","$531.00","$586.00","$286.35","$466.00","$455.60","$442.25","$365.55","$386.10",
"No","Future Retail Ltd.","FRETAIL","CONSUMER GOODS","350.80","0.23%","12.62%","12.36%","25.24%","35.31%","82.90%","203.85%","(2.50)%","$351.00","$358.50","$341.70","$351.65","$350.00","$359.80","$115.45","$311.50","$318.00","$280.10","$259.25","$191.80",
"No","Sudarshan Chemical Industries Ltd.","SUDARSCHEM","CHEMICALS","405.25","(0.09)%","10.63%","10.73%","6.30%","17.06%","10.97%","284.12%","(11.00)%","$409.30","$423.60","$401.30","$405.45","$405.60","$455.35","$105.50","$366.30","$363.00","$381.25","$346.20","$365.20",
"Yes","Sobha Ltd.","SOBHA","CONSTRUCTION","409.50","(0.68)%","10.38%","10.02%","3.02%","28.57%","49.34%","89.54%","(3.62)%","$410.95","$414.05","$398.00","$407.95","$412.30","$424.90","$216.05","$371.00","$384.15","$397.50","$318.50","$274.20",
"No","Igarashi Motors India Ltd.","IGARASHI","AUTOMOBILE","890.00","(1.34)%","10.01%","10.14%","11.78%","13.83%","14.54%","53.18%","(5.68)%","$907.00","$917.80","$888.40","$892.15","$902.10","$943.60","$581.00","$809.00","$798.50","$796.20","$781.90","$777.00",
"Yes","Canara Bank","CANBK","BANK","392.00","0.99%","9.50%","10.34%","26.82%","34.80%","26.35%","129.54%","(5.77)%","$392.70","$416.00","$384.25","$394.55","$388.15","$416.00","$170.78","$358.00","$328.95","$309.10","$290.80","$310.25",
"No","Union Bank of India","UNIONBANK","BANK","187.40","(1.63)%","9.27%","9.85%","21.45%","27.44%","11.41%","79.33%","(8.63)%","$192.00","$205.10","$182.60","$186.60","$190.50","$205.10","$104.50","$171.50","$161.40","$154.30","$147.05","$168.20",
