"Company","Symbol","Week 52 High","LTP","Mark","Week 52 Low","35 Days","Category","Change %","5 Days %","10 Days %","15 Days %","20 Days %","25 Days %","30 Days %","Week 52 Low %","Week 52 High %",
"Indiabulls Real Estate Ltd.","IBREALEST","174.20%","171.70","No","57.00%","80.75%","CONSTRUCTION","3.71%","0.41%","14.89%","19.49%","61.07%","88.37%","113.29%","201.23%","(1.44)%",
"Bhushan Steel Ltd.","BHUSANSTL","91.00%","88.20","No","34.50%","52.75%","METALS","(1.40)%","1.97%","20.82%","14.32%","30.86%","50.13%","57.50%","155.65%","(3.08)%",
"Chambal Fertilizers & Chemicals Ltd.","CHAMBLFERT","138.30%","127.85","No","53.55%","81.60%","FERTILISERS & PESTICIDES","(1.58)%","6.68%","27.53%","38.14%","52.66%","46.20%","53.85%","138.75%","(7.56)%",
"Anant Raj Ltd.","ANANTRAJ","70.65%","67.20","No","32.65%","47.55%","CONSTRUCTION","2.67%","0.75%","9.00%","5.91%","26.79%","29.60%","44.83%","105.82%","(4.88)%",
"Motilal Oswal Financial Services Ltd.","MOTILALOFS","1,100.00%","1,016.00","No","277.00%","704.95%","FINANCIAL SERVICES","(4.84)%","8.66%","20.52%","22.45%","30.17%","33.16%","42.10%","266.79%","(7.64)%",
"Network18 Media & Investments Ltd.","NETWORK18","52.75%","48.80","No","27.45%","35.50%","MEDIA & ENTERTAINMENT","(2.79)%","7.49%","(1.51)%","7.73%","17.73%","21.09%","41.45%","77.78%","(7.49)%",
"DLF Ltd.","DLF","209.75%","208.90","No","101.00%","146.20%","CONSTRUCTION","2.98%","5.51%","12.49%","14.00%","31.18%","33.31%","40.67%","106.83%","(0.41)%",
"Piramal Enterprises Ltd.","PEL","2,644.95%","2,630.00","No","1,202.00%","1,865.00%","PHARMA","3.37%","5.20%","5.54%","10.73%","16.94%","36.26%","40.64%","118.80%","(0.57)%",
"Adani Transmission Ltd.","ADANITRANS","96.20%","89.65","No","28.50%","62.75%","ENERGY","7.56%","23.74%","14.57%","5.22%","12.20%","15.68%","39.64%","214.56%","(6.81)%",
"SREI Infrastructure Finance Ltd.","SREINFRA","116.40%","113.80","No","51.25%","89.45%","FINANCIAL SERVICES","4.16%","3.22%","24.92%","32.94%","37.19%","36.45%","36.61%","122.05%","(2.23)%",
"PNC Infratech Ltd.","PNCINFRA","168.50%","158.10","No","90.45%","112.00%","CONSTRUCTION","0.09%","1.02%","(0.44)%","4.60%","14.57%","25.23%","36.29%","74.79%","(6.17)%",
"Indian Bank","INDIANB","360.90%","354.50","No","84.90%","257.45%","BANK","(0.55)%","0.58%","11.06%","36.35%","34.59%","26.09%","34.69%","317.55%","(1.77)%",
"Navkar Corporation Ltd.","NAVKARCORP","247.00%","232.30","No","154.75%","170.00%","SERVICES","6.71%","7.95%","10.67%","12.22%","13.90%","11.07%","34.12%","50.11%","(5.95)%",
"Godrej Properties Ltd.","GODREJPROP","586.00%","509.00","No","286.35%","395.20%","CONSTRUCTION","(0.88)%","(5.25)%","9.23%","8.32%","18.37%","15.09%","33.95%","77.75%","(13.14)%",
"Vijaya Bank","VIJAYABANK","97.40%","87.65","No","29.60%","61.80%","BANK","(3.31)%","(1.90)%","6.11%","26.75%","24.41%","24.77%","33.51%","196.11%","(10.01)%",
"UFLEX Ltd.","UFLEX","382.30%","368.00","No","180.00%","275.35%","INDUSTRIAL MANUFACTURING","(1.13)%","","(1.34)%","15.54%","18.63%","23.28%","33.33%","104.44%","(3.74)%",
"JM Financial Ltd.","JMFINANCIL","124.40%","118.10","No","41.55%","80.35%","FINANCIAL SERVICES","(0.17)%","(0.67)%","1.77%","9.35%","19.41%","31.81%","31.51%","184.24%","(5.06)%",
