"Company","Symbol","LTP","Week 52 High","Week 52 Low","Mark","35 Days","Category","Change %","5 Days %","10 Days %","15 Days %","20 Days %","25 Days %","30 Days %","Week 52 Low %","Week 52 High %",
"Videocon Industries Ltd.","VIDEOIND","59.05","115.00%","59.05%","No","103.05%","CONSUMER GOODS","(9.98)%","(40.95)%","(41.21)%","(42.89)%","(43.17)%","(42.92)%","(42.92)%","","(48.65)%",
"JMT Auto Ltd.","JMTAUTOLTD","7.25","58.25%","6.75%","No","10.50%","AUTOMOBILE","(8.81)%","(20.33)%","(21.20)%","(25.26)%","(26.40)%","(26.02)%","(28.92)%","7.41%","(87.55)%",
"Tata Elxsi Ltd.","TATAELXSI","1,328.00","1,863.75%","1,021.25%","No","1,463.90%","IT","(8.75)%","(15.14)%","(13.66)%","(13.19)%","(16.39)%","(13.15)%","(15.26)%","30.04%","(28.75)%",
"GMR Infrastructure Ltd.","GMRINFRA","14.60","18.65%","10.20%","Yes","15.95%","CONSTRUCTION,NIFTY MIDCAP 50","(8.18)%","(15.36)%","(14.12)%","(13.10)%","(17.98)%","(7.01)%","(7.89)%","43.14%","(21.72)%",
"Reliance Defence and Engineering Ltd.","RDEL","55.95","73.00%","48.30%","No","67.30%","INDUSTRIAL MANUFACTURING","(7.98)%","(15.10)%","(16.62)%","(15.67)%","(14.78)%","(12.58)%","(18.14)%","15.84%","(23.36)%",
"NCC Ltd.","NCC","83.95","103.65%","68.35%","No","81.90%","CONSTRUCTION","(7.70)%","(17.17)%","(11.77)%","(14.42)%","(15.67)%","(8.55)%","(2.44)%","22.82%","(19.01)%",
"Reliance Communications Ltd.","RCOM","25.90","55.35%","25.30%","Yes","38.20%","NIFTY INFRA,TELECOM","(7.50)%","(18.81)%","(21.75)%","(21.16)%","(24.93)%","(23.94)%","(30.75)%","2.37%","(53.21)%",
"Century Textile & Industries Ltd.","CENTURYTEX","1,037.50","1,218.80%","580.00%","No","1,052.80%","CEMENT & CEMENT PRODUCTS","(7.49)%","(12.91)%","(12.04)%","(11.02)%","(9.23)%","(5.00)%","(2.58)%","78.88%","(14.88)%",
"Jaiprakash Associates Ltd.","JPASSOCIAT","9.50","16.80%","5.30%","No","13.80%","CEMENT & CEMENT PRODUCTS,NIFTY INFRA,NIFTY MIDCAP 50","(7.32)%","(23.69)%","(26.92)%","(27.20)%","(26.64)%","(24.30)%","(26.07)%","79.25%","(43.45)%",
"Reliance Capital Ltd.","RELCAPITAL","576.00","692.50%","365.15%","Yes","615.00%","FINANCIAL SERVICES,NIFTY MIDCAP 50","(7.27)%","(14.96)%","(15.73)%","(14.07)%","(8.43)%","(4.08)%","(4.92)%","57.74%","(16.82)%",
"State Trading Corporation of India Ltd.","STCINDIA","139.80","251.40%","81.20%","No","158.90%","SERVICES","(6.99)%","(15.83)%","(18.44)%","(19.52)%","(21.42)%","(20.07)%","(17.72)%","72.17%","(44.39)%",
"TV18 Broadcast Ltd.","TV18BRDCST","33.50","50.00%","33.05%","Yes","41.95%","MEDIA & ENTERTAINMENT","(6.94)%","(18.29)%","(19.57)%","(18.89)%","(19.66)%","(21.91)%","(23.17)%","1.36%","(33.00)%",
"Jammu & Kashmir Bank Ltd.","J&KBANK","76.50","92.20%","56.40%","No","75.60%","BANK","(6.88)%","(12.12)%","(8.16)%","(4.49)%","(3.35)%","(1.92)%","(5.44)%","35.64%","(17.03)%",
"CCL Products (I) Ltd.","CCL","290.00","372.00%","218.15%","No","342.00%","CONSUMER GOODS","(6.60)%","(14.71)%","(14.33)%","(14.74)%","(14.71)%","(15.16)%","(16.91)%","32.94%","(22.04)%",
"Reliance Infrastructure Ltd.","RELINFRA","492.00","635.70%","426.65%","Yes","567.05%","ENERGY,NIFTY INFRA,NIFTY MIDCAP 50","(6.51)%","(18.68)%","(17.12)%","(18.32)%","(15.21)%","(11.62)%","(12.87)%","15.32%","(22.61)%",
"Adani Power Ltd.","ADANIPOWER","28.00","46.35%","23.15%","Yes","39.90%","ENERGY,NIFTY INFRA","(6.20)%","(15.15)%","(9.97)%","(9.53)%","(15.02)%","(15.28)%","(36.79)%","20.95%","(39.59)%",
"Chambal Fertilizers & Chemicals Ltd.","CHAMBLFERT","105.75","138.30%","53.55%","No","86.55%","FERTILISERS & PESTICIDES","(6.04)%","(13.36)%","(18.02)%","4.44%","10.16%","24.34%","21.90%","97.48%","(23.54)%",
"IDBI Bank Ltd.","IDBI","61.00","86.40%","60.25%","No","75.20%","BANK,NIFTY MIDCAP 50","(6.01)%","(19.47)%","(21.79)%","(22.93)%","(17.57)%","(17.46)%","(18.77)%","1.24%","(29.40)%",
"GVK Power & Infrastructures Ltd.","GVKPIL","5.50","7.70%","4.10%","No","6.00%","CONSTRUCTION","(5.98)%","(12.00)%","(14.06)%","(10.57)%","(14.06)%","(10.57)%","(9.84)%","34.15%","(28.57)%",
"Hindustan Construction Co. Ltd.","HCC","38.65","48.10%","18.00%","No","39.50%","CONSTRUCTION","(5.96)%","(17.24)%","(11.05)%","(16.34)%","(18.11)%","(6.42)%","(6.53)%","114.72%","(19.65)%",
"Biocon Ltd.","BIOCON","890.00","1,188.00%","637.80%","No","1,131.00%","NIFTY MIDCAP 50,PHARMA","(5.95)%","(10.42)%","(11.53)%","(14.03)%","(22.79)%","(20.18)%","(19.21)%","39.54%","(25.08)%",
"Inox Wind Ltd.","INOXWIND","133.45","253.00%","131.60%","No","170.50%","INDUSTRIAL MANUFACTURING","(5.92)%","(15.27)%","(32.77)%","(33.28)%","(32.91)%","(27.96)%","(29.32)%","1.41%","(47.25)%",
"Idea Cellular Ltd.","IDEA","79.55","123.50%","65.80%","Yes","86.10%","LARGECAP,NIFTY INFRA,TELECOM","(5.91)%","(8.77)%","(12.53)%","(5.41)%","(6.69)%","(7.61)%","(9.76)%","20.90%","(35.59)%",
"Swan Energy Ltd.","SWANENERGY","129.50","213.85%","58.00%","No","141.30%","CONSTRUCTION","(5.85)%","(11.30)%","(18.40)%","(15.80)%","(18.60)%","(11.00)%","(7.96)%","123.28%","(39.44)%",
"Kolte-Patil Developers Ltd.","KOLTEPATIL","154.20","204.05%","78.40%","No","181.00%","CONSTRUCTION","(5.57)%","(15.23)%","(16.87)%","(18.99)%","(19.14)%","(17.54)%","(17.69)%","96.68%","(24.43)%",
"Central Bank of India","CENTRALBK","103.60","123.25%","74.70%","No","105.00%","BANK","(5.43)%","(14.06)%","(11.83)%","(0.81)%","1.37%","1.42%","(0.29)%","38.69%","(15.94)%",
"Caplin Point Laboratories Ltd.","CAPLIPOINT","533.00","1,472.00%","290.90%","No","389.00%","PHARMA","(5.31)%","(0.74)%","31.22%","35.16%","36.47%","34.89%","37.37%","83.22%","(63.79)%",
"Jai Corp Ltd.","JAICORPLTD","74.15","92.45%","52.30%","No","74.00%","INDUSTRIAL MANUFACTURING","(5.30)%","(14.72)%","(17.01)%","(15.06)%","(14.38)%","(10.82)%","(5.18)%","41.78%","(19.79)%",
"Wockhardt Ltd.","WOCKPHARMA","582.85","1,129.05%","580.10%","No","718.00%","PHARMA","(5.27)%","(14.22)%","(14.26)%","(17.38)%","(20.65)%","(21.97)%","(23.56)%","0.47%","(48.38)%",
"BEML Ltd.","BEML","1,130.05","1,440.00%","771.00%","No","1,363.20%","INDUSTRIAL MANUFACTURING","(5.25)%","(18.49)%","(17.33)%","(17.35)%","(18.47)%","(16.52)%","(18.29)%","46.57%","(21.52)%",
"V-Guard Industries Ltd.","VGUARD","179.95","942.71%","77.60%","No","173.00%","INDUSTRIAL MANUFACTURING","(5.24)%","(16.50)%","(15.12)%","(4.33)%","(5.09)%","(1.91)%","(2.47)%","131.89%","(80.91)%",
"Reliance Power Ltd.","RPOWER","41.90","56.45%","38.05%","Yes","48.00%","ENERGY,NIFTY INFRA,NIFTY MIDCAP 50","(5.20)%","(11.70)%","(12.07)%","(12.71)%","(14.58)%","(10.57)%","(14.31)%","10.12%","(25.78)%",
"Gayatri Projects Ltd.","GAYAPROJ","141.25","732.00%","131.30%","No","143.15%","CONSTRUCTION","(5.20)%","(12.89)%","(16.15)%","(12.21)%","(13.40)%","(11.25)%","(2.18)%","7.58%","(80.70)%",
"Oriental Bank of Commerce","ORIENTBANK","142.95","191.00%","76.75%","No","140.75%","BANK,NIFTY MIDCAP 50","(5.08)%","(12.30)%","(17.49)%","(18.38)%","(7.71)%","(6.42)%","(5.64)%","86.25%","(25.16)%",
"Amara Raja Batteries Ltd.","AMARAJABAT","830.15","1,079.70%","805.70%","Yes","894.00%","AUTOMOBILE","(5.04)%","(11.23)%","(7.94)%","(5.02)%","(5.33)%","(2.91)%","(6.41)%","3.03%","(23.11)%",
"Dredging Corporation of India Ltd.","DREDGECORP","555.00","720.00%","351.60%","No","686.00%","SERVICES","(5.00)%","(14.93)%","(16.04)%","(16.05)%","(17.11)%","(17.59)%","(18.07)%","57.85%","(22.92)%",
"Allahabad Bank","ALBK","71.75","92.40%","49.10%","No","73.40%","BANK,NIFTY MIDCAP 50","(4.97)%","(17.05)%","(17.48)%","(15.69)%","(5.03)%","(1.24)%","(2.84)%","46.13%","(22.35)%",
"Shilpi Cable Tech Ltd.","SHILPI","45.05","252.00%","45.05%","No","218.95%","TELECOM","(4.96)%","(22.46)%","(39.93)%","(53.46)%","(78.09)%","(79.87)%","(79.33)%","","(82.12)%",
"Dish TV India Ltd.","DISHTV","90.70","111.00%","76.05%","Yes","107.25%","MEDIA & ENTERTAINMENT","(4.93)%","(10.99)%","(1.52)%","(3.97)%","(5.08)%","(8.29)%","(11.51)%","19.26%","(18.29)%",
"APL Apollo Tubes Ltd.","APLAPOLLO","1,323.20","1,505.00%","811.00%","Yes","1,171.50%","METALS","(4.93)%","(6.42)%","(8.75)%","(10.78)%","(3.06)%","8.28%","9.81%","63.16%","(12.08)%",
"India Cements Ltd.","INDIACEM","184.25","226.25%","83.10%","No","163.10%","CEMENT & CEMENT PRODUCTS,NIFTY MIDCAP 50","(4.88)%","(15.11)%","(13.90)%","(12.55)%","(9.37)%","15.30%","12.62%","121.72%","(18.56)%",
"Shipping Corporation of India Ltd.","SCI","68.45","85.85%","55.50%","No","76.85%","SERVICES","(4.86)%","(16.01)%","(13.90)%","(12.36)%","(16.12)%","(4.67)%","(10.87)%","23.33%","(20.27)%",
