Symbol,CategoryName
3MINDIA,DIVERSIFIED
3MINDIA,SERVICES
3MINDIA,HIGH_MARKET_VALUE
3MINDIA,NIFTY500
3MINDIA,LARGECAP_250
3MINDIA,MIDCAP_150
3MINDIA,MIDSMALLCAP_400
8KMILES,COMPUTERS - SOFTWARE
8KMILES,IT
8KMILES,NIFTY500
8KMILES,MIDSMALLCAP_400
ABB,INFRASTRUCTURE - GENERAL
ABB,INDUSTRIAL MANUFACTURING
ABB,HIGH_MARKET_VALUE
ABB,NIFTY100
ABB,NIFTY200
ABB,NIFTY500
ABB,LARGECAP_250
ABB,NIFTY_NEXT_50
ACC,CEMENT - MAJOR
ACC,CEMENT & CEMENT PRODUCTS
ACC,HIGH_MARKET_VALUE
ACC,NIFTY100
ACC,NIFTY200
ACC,NIFTY500
ACC,LARGECAP_250
ACC,NIFTY_NEXT_50
AIAENG,CASTINGS & FORGINGS
AIAENG,INDUSTRIAL MANUFACTURING
AIAENG,HIGH_MARKET_VALUE
AIAENG,NIFTY200
AIAENG,NIFTY500
AIAENG,LARGECAP_250
AIAENG,MIDCAP_100
AIAENG,MIDCAP_150
AIAENG,MIDSMALLCAP_400
AARTIIND,CHEMICALS
AARTIIND,LONGTERM
AARTIIND,NIFTY500
AARTIIND,MIDSMALLCAP_400
ADANIENT,TRADING
ADANIENT,SERVICES
ADANIENT,HIGH_MARKET_VALUE
ADANIPORTS,INFRASTRUCTURE - GENERAL
ADANIPORTS,SERVICES
ADANIPORTS,HIGH_MARKET_VALUE
ADANIPORTS,NIFTY100
ADANIPORTS,NIFTY200
ADANIPORTS,NIFTY500
ADANIPORTS,LARGECAP_250
ADANIPORTS,NIFTY50
ADANIPOWER,POWER - GENERATION & DISTRIBUTION
ADANIPOWER,ENERGY
ADANIPOWER,NIFTY200
ADANIPOWER,NIFTY500
ADANIPOWER,LARGECAP_250
ADANIPOWER,MIDCAP_50
ADANIPOWER,MIDCAP_100
ADANIPOWER,MIDCAP_150
ADANIPOWER,MIDSMALLCAP_400
ADANITRANS,POWER - GENERATION & DISTRIBUTION
ADANITRANS,ENERGY
ADANITRANS,HIGH_MARKET_VALUE
ADANITRANS,LONGTERM
ADANITRANS,NIFTY500
ADANITRANS,LARGECAP_250
ADANITRANS,MIDCAP_150
ADANITRANS,MIDSMALLCAP_400
ABFRL,RETAIL
ABFRL,CONSUMER GOODS
ABFRL,NIFTY200
ABFRL,NIFTY500
ABFRL,LARGECAP_250
ABFRL,MIDCAP_100
