"Name","Symbol","Last","High","Low","Chg.","Chg. %","Vol.","Time"
"3M India","TMIN","20,282.85","20,502.00","19,682.10","+385.85","+1.94%","1.56K","02/11"
"8K Miles Software Services Ltd","8KMS","66.70","67.70","55.40","+5.15","+8.37%","2.34M","02/11"
"Aarti Industries","ARTI","1,383.05","1,421.00","1,362.00","+57.95","+4.37%","114.73K","02/11"
"ABB India","ABB","1,318.15","1,376.00","1,308.25","+0.60","+0.05%","184.83K","02/11"
"ACC","ACC","1,451.50","1,474.00","1,411.00","+45.80","+3.26%","654.75K","02/11"
"Adani","APSE","333.60","340.15","319.40","+15.30","+4.81%","7.39M","02/11"
"Adani Power","ADAN","49.85","52.75","48.65","-0.35","-0.70%","60.81M","02/11"
"Adani Transmission Ltd","ADAI","178.95","184.10","178.00","+2.35","+1.33%","305.11K","02/11"
"Aditya Birla Capital","ADTB","106.35","108.90","105.55","+0.25","+0.24%","1.72M","02/11"
"Aditya Birla Fashion","ADIA","193.15","199.95","187.55","+5.90","+3.15%","4.06M","02/11"
"Advanced Enzyme Tech","ADEN","191.50","199.90","190.90","-9.10","-4.54%","159.70K","02/11"
"Aegis Logistics Ltd","AEGS","219.85","225.25","216.00","+5.55","+2.59%","73.16K","02/11"
"AIA Engineering","AIAE","1,708.65","1,733.00","1,644.50","+23.15","+1.37%","229.92K","02/11"
"Ajanta Pharma Ltd","AJPH","1,085.30","1,104.90","1,075.50","-3.20","-0.29%","443.28K","02/11"
"Akzo Nobel India","AKZO","1,555.05","1,579.90","1,518.05","+17.85","+1.16%","22.63K","02/11"
"Alembic Pharmaceuticals Ltd","ALEM","589.40","607.80","586.10","-13.65","-2.26%","29.00K","02/11"
"Alkem Laboratories Ltd","ALKE","1,908.90","1,938.95","1,860.00","9.85","0.52%","63.74K","02/11"
"Allahabad Bank","ALBK","42.90","44.65","42.45","-0.40","-0.92%","4.80M","02/11"
"Allcargo Logistics","ACLL","101.45","105.60","100.05","-1.40","-1.36%","162.65K","02/11"
"Alstom","GEPO","825.95","842.00","816.00","1.55","0.19%","8.92K","02/11"
"Amara Raja Batteries","AMAR","790.80","796.00","751.20","+44.35","+5.94%","862.82K","02/11"
"Ambuja Cements","ABUJ","204.05","208.00","201.40","+4.10","+2.05%","4.17M","02/11"
"Andhra Bank","ADBK","28.65","29.75","28.40","-0.65","-2.22%","2.00M","02/11"
"APL Apollo Tubes Ltd","APLA","1,226.90","1,325.00","1,164.00","+16.90","+1.40%","92.12K","02/11"
"Apollo Hospitals","APLH","1,153.80","1,203.75","1,138.50","-18.60","-1.59%","713.55K","02/11"
"Apollo Tyres","APLO","220.70","229.50","219.10","+2.30","+1.05%","4.36M","02/11"
"Ashok Leyland","ASOK","117.70","118.45","113.80","+4.35","+3.84%","24.47M","02/11"
"Ashoka Buildcon Ltd","ABDL","118.65","122.70","117.40","+2.10","+1.80%","159.20K","02/11"
"Asian Paints","ASPN","1,247.00","1,291.55","1,241.25","+29.20","+2.40%","2.24M","02/11"
"Aster DM Healthcare","ATRD","155.90","159.90","155.50","-1.45","-0.92%","27.08K","02/11"
"Astral Poly Technik Ltd","ASPT","1,016.15","1,069.00","991.40","12.40","1.24%","124.57K","02/11"
"Atul","ATLP","3,341.65","3,478.20","3,321.35","-28.05","-0.83%","22.49K","02/11"
"AU Small Finance Bank","AUFI","559.65","568.75","553.00","-4.05","-0.72%","124.96K","02/11"
"Aurobindo Pharma","ARBN","781.40","795.00","777.90","-11.15","-1.41%","2.02M","02/11"
"Avanti Feeds","AVNT","410.45","415.00","401.40","+5.65","+1.40%","323.96K","02/11"
"Avenue Supermarts","AVEU","1,462.50","1,482.80","1,368.00","+96.40","+7.06%","1.76M","02/11"
"AXIS Bank","AXBK","610.65","617.90","605.10","+8.50","+1.41%","12.49M","02/11"
"Bajaj Auto","BAJA","2,657.75","2,700.00","2,620.00","+58.90","+2.27%","769.31K","02/11"
