"CompanyName","URL"
"3M India","/equities/3m-india"
"8K Miles Software Services Ltd","/equities/8k-miles-software-services-ltd"
"Aarti Industries","/equities/aarti-industries"
"ABB India","/equities/abb-limited"
"ACC","/equities/acc"
"Adani","/equities/mundra-port-special-eco.-zone"
"Adani Power","/equities/adani-power"
"Adani Transmission Ltd","/equities/adani-transmission-ltd"
"Aditya Birla Capital","/equities/aditya-birla"
"Aditya Birla Fashion","/equities/pantaloons-fashion-retail"
"Advanced Enzyme Tech","/equities/advanced-enzyme-technologies-ltd"
"Aegis Logistics Ltd","/equities/aegis-logistics-ltd"
"AIA Engineering","/equities/aia-engineering"
"Ajanta Pharma Ltd","/equities/ajanta-pharma-ltd"
"Akzo Nobel India","/equities/akzo-nobel-india"
"Alembic Pharmaceuticals Ltd","/equities/alembic-pharmaceuticals-ltd"
"Alkem Laboratories Ltd","/equities/alkem-laboratories-ltd"
"Allahabad Bank","/equities/allahabad-bank"
"Allcargo Logistics","/equities/allcargo-logistics"
"Alstom","/equities/alstom?cid=17996"
"Amara Raja Batteries","/equities/amara-raja-batteries"
"Ambuja Cements","/equities/ambuja-cements"
"Andhra Bank","/equities/andhra-bank"
"APL Apollo Tubes Ltd","/equities/apl-apollo-tubes-ltd"
"Apollo Hospitals","/equities/apollo-hospitals"
"Apollo Tyres","/equities/apollo-tyres"
"Ashok Leyland","/equities/ashok-leyland"
"Ashoka Buildcon Ltd","/equities/ashoka-buildcon-ltd"
"Asian Paints","/equities/asian-paints"
"Aster DM Healthcare","/equities/aster-dm-healthcare-ltd"
"Astral Poly Technik Ltd","/equities/astral-poly-technik-ltd"
"Atul","/equities/atul"
"AU Small Finance Bank","/equities/au-small-finance-bank-ltd"
"Aurobindo Pharma","/equities/aurobindo-pharma"
"Avanti Feeds","/equities/avanti-feeds-ltd"
"Avenue Supermarts","/equities/avenue-supermarts-ltd"
"AXIS Bank","/equities/axis-bank"
"Bajaj Auto","/equities/bajaj-auto"
"Bajaj Corp","/equities/bajaj-corp-ltd"
"Bajaj Electricals","/equities/bajaj-electricals"
"Bajaj Finance","/equities/bajaj-finance"
"Bajaj Finserv","/equities/bajaj-finserv-limited"
"Bajaj Holdings","/equities/bajaj-holdings---investment"
"Balkrishna Industries","/equities/balkrishna-industries-ltd"
"Balmer Lawrie&amp;Co.","/equities/balmer-lawrie---company"
"Balrampur Chini Mills","/equities/balrampur-chini-mills"
"Bandhan Bank","/equities/bandhan-bank-ltd"
"Bank Of Baroda","/equities/bank-of-baroda"
"Bank of India","/equities/bank-of-india"
"BASF","/equities/basf-ag?cid=18033"
"Bata India","/equities/bata-india"
"BEML","/equities/beml"
"Berger Paints","/equities/berger-paints-(i)"
"Bharat Dynamics","/equities/bharat-dynamics-ltd"
"Bharat Electronics","/equities/bharat-electronics"
"Bharat Financial","/equities/sks-microfinance"
"Bharat Forge","/equities/bharat-forge"
"Bharat Heavy Electricals","/equities/bharat-heavy-electricals"
"Bharat Petroleum","/equities/bharat-petroleum"
"Bharti Airtel","/equities/bharti-airtel"
"Bharti Infratel","/equities/bharti-infratel-ltd"
"Biocon","/equities/biocon"
"Birla Corporation","/equities/birla-corporation"
"Bliss GVS Pharma Ltd","/equities/bliss-gvs-pharma-ltd"
"Blue Dart Express","/equities/blue-dart-express"
"Blue Star","/equities/blue-star-infotech"
"Bombay Burmah Trading","/equities/bomburmah"
"Bombay Dyeing&amp;Mfg.","/equities/bombay-dyeing---mfg"
"Bosch","/equities/bosch"
"Brigade Enterprises","/equities/brigade-enterprises"
"Britannia Industries","/equities/britannia-industries"
"BSE","/equities/bse-ltd"
"Cadila Healthcare","/equities/cadila-healthcare"
"Can Fin Homes","/equities/can-fin-homes"
"Canara Bank","/equities/canara-bank"
"Capital First","/equities/future-capital-holdings"
"Caplin Point Laboratories Ltd","/equities/caplin-point-laboratories-ltd"
"Carborundum Universal","/equities/carborundum-universal"
"Castrol India","/equities/castrol-india"
"CBI","/equities/central-bank-of-india"
"CCL Products India Ltd","/equities/ccl-products-india-ltd"
"CEAT Ltd","/equities/ceat-ltd"
"Central Depository Services","/equities/central-depository-services-india"
"Century Plyboards","/equities/century-plyboards-(india)"
"Century Textiles","/equities/century-textiles---industries"
"Cera Sanitaryware Ltd","/equities/cera-sanitaryware-ltd"
"Chambal Fertilisers","/equities/chambal-fertilizers---chem."
"Chennai Petroleum","/equities/chennai-petroleum-corporation"
"Cholamandalam","/equities/cholamandalam-inv.-and-finance"
"Cipla","/equities/cipla"
"City Union Bank","/equities/city-union-bank"
"Coal India","/equities/coal-india"
"Cochin Shipyard","/equities/cochin-shipyard"
"Coffee Day Enterprises Ltd","/equities/coffee-day-enterprises-ltd"
"Colgate-Palmolive","/equities/colgate-palmo?cid=18076"
"Container India","/equities/container-corporation-of-india"
"Coromandel Int","/equities/coromandel-international"
"Credit Analysis&amp;Research","/equities/credit-analysis-and-research-ltd"
"CRISIL","/equities/crisil"
"Crompton Greaves","/equities/crompton-greaves"
"Crompton Greaves Consumer Electricals Ltd","/equities/crompton-greaves-consumer-electric"
"Cummins","/equities/cummins-inc?cid=18084"
"Cyient Ltd-B","/equities/infotech-enterprises"
"D.B.Corp","/equities/db-corp-ltd"
"Dabur India","/equities/dabur-india"
"DCM Shriram","/equities/dcm-shriram-consolidated"
"Deepak","/equities/deepak-fertilizers-and-petro."
"Delta Corp","/equities/delta-corp"
"Den Networks","/equities/den-networks-ltd"
"Dena Bank","/equities/dena-bank"
"Development Credit Bank","/equities/development-credit-bank"
"Dewan Housing","/equities/dewan-housing-finance"
"Dilip Buildcon","/equities/dilip-buildcon-ltd"
"Dish TV India","/equities/dish-tv-india-limited"
"Dishman Carbogen Amcis","/equities/dishman-carbogen-amcis"
"Divi's Labs","/equities/divis-laboratories"
"Dixon Tech","/equities/dixon-technologies"
"DLF","/equities/dlf"
"Dr Lal PathLabs Ltd","/equities/dr-lal-pathlabs-ltd"
"Dr. Reddy's Labs","/equities/dr-reddys-laboratories"
"Dredging Corporation","/equities/dredging-corporation-of-india"
"E.I.D-Parry","/equities/eid-parry-india"
"eClerx Services","/equities/eclerx-services"
"Edelweiss Financial","/equities/edelweiss-financial-services"
"Eicher Motors","/equities/eicher-motors"
"EIH","/equities/eih"
"Elgi Equipments","/equities/elgi-equipments"
"Emami","/equities/emami"
"Endurance Technologies Cn","/equities/endurance-technologies-cn-ltd"
"Engineers India","/equities/engineers-india"
"Equitas Holdings","/equities/equitas-holdings-ltd"
"Eris Lifesciences","/equities/eris-lifesciences-ltd"
"Eros Media","/equities/eros-international-media-ltd"
"Escorts","/equities/escorts"
"Eveready Industries India Ltd","/equities/eveready-industries-india-ltd"
"Excel Crop Care Ltd","/equities/excel-crop-care-ltd"
"Exide Industries","/equities/exide-industries"
"FDC","/equities/fdc"
"Federal Bank","/equities/the-federal-bank"
"Finolex Cables","/equities/finolex-cables"
"Finolex Industries","/equities/finolex-industries"
"Firstsource Solutions","/equities/firstsource-solutions"
"Future Consumer","/equities/future-ventures-india-bo?cid=18135"
"Future Lifestyle Fashions Ltd","/equities/future-lifestyle-fashions-ltd"
"Future Retail","/equities/future-retail-ns"
"GAIL Ltd","/equities/gail-(india)"
"Galaxy Surfactants","/equities/galaxy-surfactants-limited"
"Gateway Distriparks","/equities/gateway-distriparks"
"Gayatri Projects","/equities/gayatri-projects-ltd"
"Ge T&amp;D India","/equities/alstom-india-ltd"
"General Insurance India","/equities/general-insurance-corporation-of-in"
"GHCL","/equities/ghcl"
"Gillette India","/equities/gillette-india"
"GlaxoSmithkline Healthcare","/equities/gsk-consumer-healthcare"
"GlaxoSmithkline Pharma","/equities/gsk-pharmaceuticals"
"Glenmark Pharma","/equities/glenmark-pharmaceuticals"
"GMR Infrastructure","/equities/gmr-infrastructure"
"Godfrey Phillips India","/equities/godfrey-phillips-india"
"Godrej Agrovet","/equities/godrej-agrovet-ltd"
"Godrej Consumer","/equities/godrej-consumer-products"
"Godrej Industries","/equities/godrej-industries"
"Godrej Properties","/equities/godrej-properties"
"Granules India","/equities/granules-india-ltd"
"Graphite India","/equities/graphite-india"
"Grasim Industries","/equities/grasim-industries"
"Great Eastern Shipping","/equities/great-eastern-shipping"
"Greaves Cotton","/equities/greaves-cotton"
"Greenply Industries Ltd","/equities/greenply-industries-ltd"
"Grindwell Norton Ltd","/equities/grindwell-norton-ltd"
"GRUH Finance","/equities/gruh-finance-ltd"
"Gujarat Alkalis&amp;Chemicals","/equities/gujarat-alkalies-and-chemicals"
"Gujarat Fluorochemicals","/equities/gujarat-fluorochemicals"
"Gujarat Gas Co.","/equities/gujarat-gas-company"
"Gujarat Mineral","/equities/gujarat-mineral-development"
"Gujarat Narmada Valley Fert.","/equities/gujarat-narmada-valley-fert."
"Gujarat Pipavav Port","/equities/gujarat-pipavav-port"
"Gujarat State Fertilizers","/equities/gujarat-state-fertil.---chem."
"Gujarat State Petronet","/equities/gujarat-state-petronet"
"Gulf Oil Lubricants India Ltd","/equities/gulf-oil-lubricants-india-ltd"
"GVK Power","/equities/gvk-power---infrastructure"
"Hathway Cable","/equities/hathway-cable---datacom"
"Hatsun Agro Product Ltd","/equities/hatsun-agro-product-ltd"
"Havells India","/equities/havells-india"
"HCL Infosystems","/equities/hcl-infosystems"
"HCL Technologies","/equities/hcl-technologies"
"HDFC Bank","/equities/hdfc-bank-ltd"
"HDFC Standard","/equities/hdfc-standard-life"
"HEG","/equities/heg"
"Heidelbergcement","/equities/heidelbergcement-ag-exch?cid=30102"
"Heritage Foods","/equities/heritage-fo"
"Hero MotoCorp","/equities/hero-motocorp"
"Hexaware Technologies","/equities/hexaware-technologies"
"Himachal Futuristic","/equities/himachal-futuristic-comm."
"Himadri Speciality Chem","/equities/himadri-chemicals-industries"
"Himatsingka Seide","/equities/himatsingka-seide"
"Hindalco Industries","/equities/hindalco-industries"
"Hindustan Aeronautics","/equities/hindustan-aeronautics-ltd"
"Hindustan Construction","/equities/hindustan-construction-company"
"Hindustan Copper","/equities/hindustan-copper-ltd"
"Hindustan Petroleum","/equities/hindustan-petroleum"
