"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades"
"ACC","EQ","01-Jan-2016","       1360.65","       1362.00","       1380.40","       1360.00","       1370.55","       1373.65","       1372.94","     161982","           222391592.70","       5651"
"ACC","EQ","04-Jan-2016","       1373.65","       1368.40","       1378.20","       1332.00","       1341.45","       1344.00","       1353.25","     158288","           214203914.45","       8391"
"ACC","EQ","05-Jan-2016","       1344.00","       1345.00","       1355.50","       1338.80","       1340.05","       1341.30","       1344.80","     126300","           169848293.20","       8994"
"ACC","EQ","06-Jan-2016","       1341.30","       1348.00","       1348.00","       1317.75","       1324.30","       1320.35","       1328.09","     316220","           419967105.20","      16780"
"ACC","EQ","07-Jan-2016","       1320.35","       1317.75","       1318.50","       1293.00","       1295.10","       1300.50","       1302.95","     301061","           392268141.25","      13671"
"ACC","EQ","08-Jan-2016","       1300.50","       1302.90","       1308.40","       1275.00","       1298.00","       1295.80","       1287.82","     161727","           208274641.70","       8865"
"ACC","EQ","11-Jan-2016","       1295.80","       1287.80","       1303.00","       1272.20","       1301.85","       1297.55","       1287.11","     142693","           183661283.85","       7480"
"ACC","EQ","12-Jan-2016","       1297.55","       1295.25","       1301.00","       1275.00","       1280.10","       1280.40","       1283.39","     105930","           135949062.80","       6342"
"ACC","EQ","13-Jan-2016","       1280.40","       1290.00","       1294.00","       1266.50","       1285.00","       1281.95","       1278.58","     166569","           212971581.75","       8007"
"ACC","EQ","14-Jan-2016","       1281.95","       1270.00","       1277.70","       1259.10","       1270.00","       1269.05","       1268.47","     124027","           157323984.45","       5471"
"ACC","EQ","15-Jan-2016","       1269.05","       1275.00","       1275.00","       1223.25","       1228.95","       1229.60","       1250.59","     141382","           176811330.35","       9758"
"ACC","EQ","18-Jan-2016","       1229.60","       1232.50","       1241.00","       1212.30","       1225.80","       1224.25","       1225.94","     156641","           192032658.05","       9461"
"ACC","EQ","19-Jan-2016","       1224.25","       1230.00","       1246.00","       1222.50","       1237.00","       1235.30","       1236.82","     176622","           218450032.80","       9553"
"ACC","EQ","20-Jan-2016","       1235.30","       1218.90","       1229.00","       1205.00","       1215.00","       1212.25","       1212.47","     156349","           189568109.30","       9474"
"ACC","EQ","21-Jan-2016","       1212.25","       1225.00","       1236.95","       1211.25","       1227.10","       1228.45","       1224.58","     209284","           256284210.90","      11982"
"ACC","EQ","22-Jan-2016","       1228.45","       1239.95","       1256.65","       1230.05","       1246.90","       1241.00","       1246.78","     123254","           153670437.40","       6121"
"ACC","EQ","25-Jan-2016","       1241.00","       1250.00","       1263.50","       1241.05","       1244.80","       1245.00","       1252.02","     124527","           155909698.50","       9770"
"ACC","EQ","27-Jan-2016","       1245.00","       1249.00","       1250.00","       1228.00","       1229.05","       1230.35","       1236.73","     112892","           139617403.55","       6993"
"ACC","EQ","28-Jan-2016","       1230.35","       1232.40","       1234.90","       1208.00","       1220.00","       1214.95","       1222.59","     134504","           164443450.35","       7531"
"ACC","EQ","29-Jan-2016","       1214.95","       1220.10","       1253.50","       1216.05","       1237.30","       1240.05","       1241.34","     254442","           315850123.05","      11987"
"ACC","EQ","01-Feb-2016","       1240.05","       1245.00","       1278.90","       1240.30","       1269.15","       1271.85","       1267.78","     210958","           267447706.00","      15588"
"ACC","EQ","02-Feb-2016","       1271.85","       1266.80","       1283.00","       1253.05","       1255.10","       1261.35","       1270.07","     204605","           259863412.45","      10235"
"ACC","EQ","03-Feb-2016","       1261.35","       1244.00","       1279.00","       1241.45","       1251.00","       1248.95","       1260.96","     191044","           240899602.05","      12021"
"ACC","EQ","04-Feb-2016","       1248.95","       1255.25","       1277.40","       1253.20","       1269.00","       1270.40","       1268.57","     205905","           261204406.45","       8150"
"ACC","EQ","05-Feb-2016","       1270.40","       1267.05","       1286.00","       1259.05","       1269.00","       1271.40","       1272.45","     231340","           294369268.05","      11648"
"ACC","EQ","08-Feb-2016","       1271.40","       1271.00","       1309.75","       1270.15","       1281.00","       1280.60","       1292.22","     218591","           282466629.75","      10102"
"ACC","EQ","09-Feb-2016","       1280.60","       1271.00","       1292.85","       1270.00","       1281.35","       1279.10","       1281.86","     148674","           190579793.40","       9749"
"ACC","EQ","10-Feb-2016","       1279.10","       1270.00","       1278.25","       1250.05","       1267.00","       1265.85","       1261.25","     256864","           323970934.85","      15461"
"ACC","EQ","11-Feb-2016","       1265.85","       1250.00","       1264.70","       1225.50","       1238.10","       1234.00","       1240.32","     231566","           287215349.60","      10385"
"ACC","EQ","12-Feb-2016","       1234.00","       1234.20","       1242.65","       1199.10","       1223.80","       1221.05","       1221.51","     212041","           259010520.90","      12823"
"ACC","EQ","15-Feb-2016","       1221.05","       1230.00","       1268.70","       1228.35","       1256.60","       1256.55","       1258.18","     130804","           164575209.60","       9080"
"ACC","EQ","16-Feb-2016","       1256.55","       1265.00","       1273.10","       1225.00","       1225.00","       1227.80","       1251.78","     144749","           181193490.05","       7739"
"ACC","EQ","17-Feb-2016","       1227.80","       1222.80","       1233.50","       1204.00","       1225.00","       1226.05","       1219.42","     165080","           201302361.65","       8593"
"ACC","EQ","18-Feb-2016","       1226.05","       1235.00","       1265.65","       1231.60","       1261.60","       1262.35","       1251.55","     194704","           243680869.20","       9813"
"ACC","EQ","19-Feb-2016","       1262.35","       1259.80","       1280.90","       1248.40","       1280.90","       1278.00","       1263.60","     160509","           202818794.80","       8128"
"ACC","EQ","22-Feb-2016","       1278.00","       1274.50","       1287.30","       1267.65","       1281.55","       1281.50","       1277.45","     122556","           156559500.15","       6441"
"ACC","EQ","23-Feb-2016","       1281.50","       1271.10","       1282.00","       1240.65","       1241.20","       1243.90","       1260.59","     137883","           173814559.70","       7292"
"ACC","EQ","24-Feb-2016","       1243.90","       1239.00","       1245.25","       1225.80","       1234.50","       1233.15","       1236.38","     122545","           151512390.05","       6344"
"ACC","EQ","25-Feb-2016","       1233.15","       1231.40","       1234.80","       1196.00","       1200.00","       1199.85","       1209.83","     208252","           251949119.55","       9342"
"ACC","EQ","26-Feb-2016","       1199.85","       1210.30","       1210.35","       1182.15","       1191.95","       1190.90","       1190.24","     224281","           266949052.20","      11289"
"ACC","EQ","29-Feb-2016","       1190.90","       1189.00","       1206.90","       1174.00","       1200.00","       1193.90","       1193.60","     199068","           237606654.40","      11415"
"ACC","EQ","01-Mar-2016","       1193.90","       1199.00","       1243.35","       1195.00","       1232.65","       1232.90","       1218.22","     150747","           183643030.30","       9006"
"ACC","EQ","02-Mar-2016","       1232.90","       1240.00","       1259.80","       1233.90","       1239.00","       1243.25","       1243.51","     140876","           175180967.65","      10373"
"ACC","EQ","03-Mar-2016","       1243.25","       1245.70","       1259.80","       1233.00","       1255.00","       1254.15","       1248.36","     226023","           282158267.10","      15740"
"ACC","EQ","04-Mar-2016","       1254.15","       1255.00","       1256.00","       1232.00","       1236.00","       1239.35","       1243.26","     189317","           235370878.50","      11772"
"ACC","EQ","08-Mar-2016","       1239.35","       1239.10","       1254.95","       1231.10","       1234.50","       1241.15","       1245.04","     151748","           188933061.95","       9853"
"ACC","EQ","09-Mar-2016","       1241.15","       1237.30","       1249.70","       1233.25","       1241.15","       1243.75","       1241.73","     304618","           378253579.00","      11413"
"ACC","EQ","10-Mar-2016","       1243.75","       1248.00","       1250.00","       1226.10","       1233.65","       1230.35","       1236.88","     157799","           195178147.10","       6078"
"ACC","EQ","11-Mar-2016","       1230.35","       1225.00","       1238.00","       1218.00","       1227.95","       1226.75","       1229.58","     227408","           279615523.00","       8451"
"ACC","EQ","14-Mar-2016","       1226.75","       1231.30","       1239.00","       1230.00","       1230.70","       1235.80","       1234.21","     199944","           246772672.70","      13352"
"ACC","EQ","15-Mar-2016","       1235.80","       1236.00","       1244.85","       1231.30","       1242.00","       1240.10","       1238.99","     252747","           313151727.45","      10209"
"ACC","EQ","16-Mar-2016","       1240.10","       1240.40","       1247.50","       1228.05","       1242.80","       1236.15","       1237.73","     133474","           165205180.60","       6399"
"ACC","EQ","17-Mar-2016","       1236.15","       1243.90","       1284.30","       1243.90","       1277.05","       1273.70","       1269.60","     661507","           839846766.25","      17211"
"ACC","EQ","18-Mar-2016","       1273.70","       1280.10","       1340.30","       1280.00","       1337.00","       1337.20","       1319.92","     937576","          1237523349.10","      30694"
"ACC","EQ","21-Mar-2016","       1337.20","       1344.35","       1378.00","       1338.00","       1378.00","       1374.35","       1367.98","     642636","           879112238.30","      24198"
"ACC","EQ","22-Mar-2016","       1374.35","       1374.00","       1374.00","       1352.00","       1364.00","       1365.50","       1361.16","     274082","           373070120.25","      11176"
"ACC","EQ","23-Mar-2016","       1365.50","       1368.00","       1400.00","       1358.10","       1367.70","       1372.65","       1375.72","     348767","           479805113.70","      25865"
"ACC","EQ","28-Mar-2016","       1372.65","       1372.65","       1392.00","       1355.20","       1382.00","       1377.55","       1378.41","     361296","           498013431.20","      29581"
"ACC","EQ","29-Mar-2016","       1377.55","       1367.05","       1388.00","       1353.10","       1366.90","       1366.05","       1366.52","     306696","           419106010.80","       9783"
"ACC","EQ","30-Mar-2016","       1366.05","       1373.00","       1392.00","       1371.10","       1392.00","       1385.70","       1384.25","     283716","           392735161.15","      15617"
"ACC","EQ","31-Mar-2016","       1385.70","       1395.00","       1395.00","       1362.20","       1378.00","       1381.90","       1379.93","     593818","           819428004.15","      27678"
"ACC","EQ","01-Apr-2016","       1381.90","       1371.25","       1417.00","       1371.25","       1414.00","       1413.80","       1398.49","     353030","           493708011.10","      20482"
"ACC","EQ","04-Apr-2016","       1413.80","       1409.95","       1424.25","       1397.00","       1410.75","       1412.10","       1413.31","     304032","           429689999.15","      12807"
"ACC","EQ","05-Apr-2016","       1412.10","       1405.00","       1415.00","       1387.00","       1390.00","       1390.75","       1401.37","     245684","           344293697.65","      13108"
"ACC","EQ","06-Apr-2016","       1390.75","       1395.00","       1433.50","       1392.00","       1425.00","       1427.70","       1423.62","     395582","           563157256.75","      17928"
"ACC","EQ","07-Apr-2016","       1427.70","       1425.00","       1434.00","       1411.20","       1419.50","       1417.55","       1424.22","     188755","           268827953.35","       9679"
"ACC","EQ","08-Apr-2016","       1417.55","       1414.00","       1448.85","       1411.90","       1445.00","       1441.85","       1440.88","     385804","           555898800.50","      17951"
"ACC","EQ","11-Apr-2016","       1441.85","       1447.50","       1449.95","       1425.50","       1446.50","       1447.15","       1440.97","     182766","           263360134.35","       7116"
"ACC","EQ","12-Apr-2016","       1447.15","       1448.90","       1452.50","       1430.05","       1451.35","       1448.70","       1443.31","     227452","           328282889.85","      13265"
"ACC","EQ","13-Apr-2016","       1448.70","       1451.35","       1475.00","       1450.75","       1468.00","       1469.95","       1468.56","     357950","           525672608.80","      15360"
"ACC","EQ","18-Apr-2016","       1469.95","       1465.10","       1469.00","       1437.20","       1469.00","       1464.15","       1454.57","     291018","           423306013.90","      18991"
"ACC","EQ","20-Apr-2016","       1464.15","       1468.10","       1481.50","       1460.25","       1469.00","       1467.65","       1469.93","     300310","           441436156.55","      12888"
"ACC","EQ","21-Apr-2016","       1467.65","       1482.50","       1482.50","       1428.00","       1430.00","       1433.30","       1450.47","     182428","           264605839.15","      11334"
"ACC","EQ","22-Apr-2016","       1433.30","       1430.00","       1432.50","       1410.75","       1416.00","       1414.15","       1419.26","     277158","           393359068.85","      11300"
