Symbol,Open,High,Low,Last Traded Price,Change,%Change,Traded Volume(lacs),Traded Value(crs),52 Week High,52 Week Low,365 Days % Change,30 Days % Change
"NIFTY 50","10,560.35","10,582.35","10,527.45","10,564.05","-1.25","-0.01","2,522.27","15,372.53","11,171.55","9,269.90","16.04","4.34"
"TCS","3,250.00","3,422.35","3,240.00","3,414.00","222.85","6.98","92.33","3,093.98","3,422.35","2,252.80","48.49","19.17"
"TECHM","667.00","706.00","667.00","696.10","30.90","4.65","54.90","379.16","706.00","356.65","68.02","9.90"
"INFY","1,139.00","1,193.70","1,136.95","1,179.65","46.80","4.13","121.36","1,422.10","1,221.05","860.00","28.33","1.30"
"HCLTECH","1,020.00","1,074.20","1,019.90","1,057.00","38.45","3.77","47.45","500.92","1,074.20","796.20","30.72","12.78"
"COALINDIA","283.25","294.95","282.45","291.35","8.15","2.88","24.36","70.33","316.95","233.70","3.06","7.81"
"WIPRO","294.80","300.00","293.90","297.80","5.35","1.83","33.52","99.93","334.00","241.50","19.54","1.43"
"BHARTIARTL","393.55","403.70","391.45","401.75","6.40","1.62","67.53","268.66","564.80","332.75","18.18","0.34"
"IOC","157.60","161.00","156.75","160.00","2.05","1.30","114.02","181.46","231.48","156.75","-63.24","-7.97"
"HINDUNILVR","1,442.00","1,472.15","1,441.20","1,472.15","17.95","1.23","6.74","98.12","1,472.15","898.55","62.03","12.10"
"LUPIN","790.00","801.60","785.10","800.00","9.65","1.22","14.14","112.55","1,431.40","727.10","-43.27","3.66"
"HDFCBANK","1,941.00","1,961.00","1,932.15","1,959.70","20.70","1.07","23.40","455.38","2,015.00","1,438.00","35.24","6.53"
"CIPLA","582.35","593.40","581.50","590.00","5.60","0.96","16.41","96.56","663.40","480.20","2.54","6.71"
"TITAN","950.00","965.40","947.05","960.00","7.25","0.76","22.01","210.72","999.70","460.10","103.28","10.12"
"TATAMOTORS","335.95","343.25","334.60","336.10","1.85","0.55","119.09","403.50","488.25","324.30","-24.14","-0.80"
"EICHERMOT","30,850.00","31,220.00","30,677.60","31,079.95","159.80","0.52","0.18","54.25","33,480.00","25,321.10","22.09","9.59"
"HEROMOTOCO","3,725.00","3,750.30","3,690.00","3,737.20","13.60","0.37","3.99","148.81","4,091.95","3,179.00","16.80","6.36"
"KOTAKBANK","1,150.85","1,164.00","1,145.05","1,158.05","4.15","0.36","12.18","140.22","1,177.50","867.20","32.26","10.79"
"GRASIM","1,100.70","1,109.55","1,085.00","1,103.40","-0.75","-0.07","3.54","38.80","1,375.00","1,012.15","1.96","0.67"
"BAJAJ-AUTO","2,853.80","2,870.05","2,801.05","2,856.00","-1.95","-0.07","4.66","131.95","3,468.35","2,694.50","1.68","-0.59"
"UPL","767.90","770.90","751.30","767.00","-1.90","-0.25","11.58","88.25","902.50","672.50","-0.70","7.68"
"ULTRACEMCO","4,105.00","4,134.50","4,058.05","4,092.10","-11.35","-0.28","1.93","78.98","4,599.90","3,773.30","3.87","3.94"
"POWERGRID","208.80","209.60","206.20","207.50","-0.60","-0.29","30.64","63.59","226.60","189.00","-1.75","6.46"
"MARUTI","9,082.00","9,108.15","9,012.95","9,035.75","-41.90","-0.46","3.04","274.98","9,996.40","6,113.80","45.81","2.65"
"M&M","791.90","804.45","791.90","798.15","-3.75","-0.47","25.61","204.41","818.80","612.00","-36.63","7.72"
"ASIANPAINT","1,165.00","1,165.95","1,142.25","1,158.50","-6.50","-0.56","7.28","83.83","1,262.00","1,033.70","10.45","4.70"
"ITC","276.00","279.25","273.50","275.75","-1.60","-0.58","107.91","298.05","367.70","250.00","-1.06","6.39"
"IBULHSGFIN","1,374.90","1,374.90","1,347.00","1,359.00","-8.55","-0.63","9.89","134.32","1,440.00","940.95","41.98","13.41"
"HINDALCO","255.95","263.50","254.25","263.05","-1.70","-0.64","233.15","603.52","284.00","181.60","41.42","21.05"
"GAIL","337.75","342.75","325.05","333.00","-2.35","-0.70","39.60","131.24","389.63","259.99","-15.44","-24.06"
"ZEEL","590.00","592.95","585.20","588.60","-4.30","-0.73","8.83","51.95","619.00","458.10","12.78","2.35"
"SUNPHARMA","509.00","509.00","502.00","505.45","-3.75","-0.74","44.31","223.37","676.00","432.70","-23.80","-0.65"
"DRREDDY","2,130.00","2,145.95","2,106.05","2,118.00","-18.30","-0.86","2.67","56.77","2,787.00","1,901.15","-18.77","-1.81"
"VEDL","305.45","309.75","303.00","309.00","-2.70","-0.87","135.36","414.75","355.70","217.75","31.97","7.63"
"ONGC","185.00","185.00","181.10","182.30","-1.65","-0.90","16.18","29.51","212.85","155.20","1.36","4.71"
"INDUSINDBK","1,844.00","1,844.00","1,801.10","1,815.05","-17.90","-0.98","18.20","329.69","1,878.35","1,375.20","27.68","5.73"
"HINDPETRO","299.90","308.00","297.10","298.50","-3.00","-1.00","99.97","300.96","492.80","297.10","-19.16","-15.88"
"AXISBANK","513.50","513.85","503.00","506.90","-6.00","-1.17","44.38","225.15","627.60","447.50","1.48","-2.73"
"LT","1,385.00","1,385.00","1,359.00","1,368.70","-16.30","-1.18","10.91","149.39","1,470.00","1,107.53","22.90","5.81"
"HDFC","1,863.00","1,873.00","1,832.50","1,836.50","-22.15","-1.19","26.27","483.37","1,986.05","1,470.20","23.24","2.02"
"INFRATEL","337.40","337.40","326.40","331.55","-4.40","-1.31","13.07","43.25","482.80","320.05","-4.37","-3.03"
