Symbol,Open,High,Low,Last Traded Price,Change,%Change,Traded Volume(lacs),Traded Value(crs),52 Week High,52 Week Low,365 Days % Change,30 Days % Change
"NIFTY 50","10,592.80","10,592.80","10,514.95","10,557.00","-7.05","-0.07","165.11","1,175.83","11,171.55","9,269.90","15.55","3.96"
"ZEEL","589.35","600.00","588.00","599.50","11.80","2.01","1.66","9.93","619.00","458.10","12.38","5.76"
"IBULHSGFIN","1,385.00","1,385.00","1,366.05","1,382.00","25.95","1.91","4.39","60.46","1,440.00","955.80","41.13","13.61"
"HINDPETRO","302.80","305.60","301.80","304.10","5.05","1.69","10.87","33.04","492.80","297.10","-17.58","-13.93"
"INDUSINDBK","1,814.40","1,839.80","1,808.80","1,837.60","24.75","1.37","0.69","12.68","1,878.35","1,375.20","28.72","6.13"
"BPCL","376.00","378.60","374.60","376.00","4.60","1.24","8.40","31.66","551.55","369.85","-21.81","-12.69"
"ULTRACEMCO","4,072.10","4,139.55","4,072.10","4,128.50","47.60","1.17","0.09","3.76","4,599.90","3,773.30","3.04","3.23"
"IOC","161.50","161.95","160.30","161.55","1.45","0.91","11.52","18.58","231.48","156.75","-62.19","-6.32"
"M&M","803.90","807.50","800.05","806.45","6.95","0.87","1.06","8.52","818.80","612.00","-36.58","8.20"
"YESBANK","310.90","312.50","309.00","311.00","2.45","0.79","8.59","26.68","382.90","275.25","0.64","3.41"
"KOTAKBANK","1,158.70","1,161.55","1,153.25","1,161.45","8.60","0.75","0.55","6.41","1,177.50","876.10","30.62","10.50"
"LT","1,370.00","1,378.00","1,367.55","1,374.95","9.90","0.73","1.13","15.48","1,470.00","1,107.53","22.68","5.01"
"TITAN","960.00","964.80","960.00","962.95","6.40","0.67","0.95","9.11","999.70","460.10","100.82","10.40"
"BHARTIARTL","401.50","405.15","396.85","404.30","2.30","0.57","4.78","19.13","564.80","336.50","17.96","-3.32"
"TCS","3,424.00","3,440.00","3,410.15","3,420.00","17.55","0.52","4.33","148.37","3,440.00","2,268.00","47.07","19.72"
"UPL","768.00","774.40","765.30","768.80","3.05","0.40","0.64","4.91","902.50","672.50","-1.70","7.54"
"BAJAJFINSV","5,298.85","5,310.00","5,256.65","5,306.35","20.00","0.38","0.05","2.72","5,790.00","3,801.00","21.83","3.41"
"EICHERMOT","31,399.95","31,399.95","31,150.00","31,250.00","101.30","0.33","0.02","5.92","33,480.00","25,321.10","22.54","11.68"
"ITC","276.00","277.20","276.00","277.00","0.80","0.29","3.73","10.31","367.70","250.00","-0.89","6.93"
"SUNPHARMA","505.00","508.85","505.00","506.70","1.40","0.28","1.28","6.47","667.70","432.70","-22.75","0.44"
"VEDL","307.70","311.45","307.70","309.40","0.80","0.26","6.75","20.92","355.70","217.75","32.48","8.28"
"RELIANCE","930.00","935.50","928.50","930.00","2.10","0.23","2.95","27.46","990.95","647.55","35.81","3.69"
"MARUTI","9,039.90","9,078.00","9,005.95","9,040.00","15.00","0.17","0.25","22.29","9,996.40","6,177.00","44.10","1.86"
"TATAMOTORS","335.95","337.45","334.15","336.45","0.45","0.13","6.04","20.29","488.25","324.30","-24.21","0.78"
"LUPIN","799.00","804.90","798.00","800.85","0.95","0.12","0.81","6.49","1,431.40","727.10","-43.90","4.30"
"HDFC","1,849.00","1,849.00","1,833.20","1,834.40","0.25","0.01","1.51","27.79","1,986.05","1,487.10","20.91","0.91"
"NTPC","174.05","175.15","174.05","174.35","0.00","0.00","1.10","1.92","188.00","153.15","6.51","2.35"
"BAJAJ-AUTO","2,852.80","2,880.00","2,850.00","2,852.10","-0.60","-0.02","0.11","3.18","3,468.35","2,694.50","0.73","0.01"
"ONGC","183.40","183.75","182.10","182.15","-0.20","-0.11","2.17","3.98","212.85","155.20","1.70","3.76"
"HINDALCO","263.00","264.95","261.60","261.65","-0.45","-0.17","9.21","24.29","284.00","181.60","40.33","21.87"
"TATASTEEL","608.30","608.30","604.05","605.00","-1.20","-0.20","3.80","23.03","748.11","403.77","33.14","3.91"
"HCLTECH","1,062.00","1,068.65","1,055.00","1,059.90","-2.45","-0.23","2.21","23.47","1,074.20","796.20","30.07","13.07"
"POWERGRID","207.90","207.90","206.10","206.70","-0.50","-0.24","0.69","1.42","226.60","189.00","-1.05","6.44"
"GRASIM","1,102.80","1,106.05","1,088.15","1,098.00","-2.80","-0.25","0.18","1.98","1,375.00","1,012.15","-4.31","0.30"
"SBIN","241.90","242.00","239.30","240.55","-0.65","-0.27","10.84","26.04","351.30","232.35","-15.54","-3.00"
"WIPRO","299.80","301.00","296.60","296.90","-1.15","-0.39","2.90","8.64","334.00","241.50","18.82","0.56"
"TECHM","694.55","698.90","690.60","697.60","-2.90","-0.41","3.21","22.32","706.00","356.65","65.90","11.46"
"HINDUNILVR","1,471.00","1,471.00","1,459.05","1,461.45","-6.35","-0.43","0.20","2.95","1,472.15","898.55","59.60","11.09"
